price,volume,symbol
2783.6499,31835,11536_NSE
2780.55,15351,11536_NSE
2776.25,9025,11536_NSE
2771.5,11406,11536_NSE
2768.05,6034,11536_NSE
2766,4768,11536_NSE
2769.2,6249,11536_NSE
2772,3973,11536_NSE
2770.8,4451,11536_NSE
2775.05,3970,11536_NSE
2783.05,9207,11536_NSE
2782.05,5904,11536_NSE
2783.05,4488,11536_NSE
2785.3501,7488,11536_NSE
2783.1499,5332,11536_NSE
2781.3501,3992,11536_NSE
2780.8999,3351,11536_NSE
2783.3501,6046,11536_NSE
2782.75,2656,11536_NSE
2783.3999,2602,11536_NSE
2783.3999,3189,11536_NSE
2785.05,6158,11536_NSE
2783.95,1811,11536_NSE
2782,3024,11536_NSE
2782.6499,4463,11536_NSE
2783.25,2125,11536_NSE
2782,3853,11536_NSE
2782.95,5957,11536_NSE
2781.7,2343,11536_NSE
2785,6690,11536_NSE
2785.45,2113,11536_NSE
2781.5,2282,11536_NSE
2786.3,6925,11536_NSE
2784.8999,3380,11536_NSE
2782.1001,2572,11536_NSE
2784.25,2812,11536_NSE
2787.6001,8213,11536_NSE
2783.7,3597,11536_NSE
2782.05,4921,11536_NSE
2777.8999,5297,11536_NSE
2779,2511,11536_NSE
2779.5,2417,11536_NSE
2779.55,1496,11536_NSE
2777.6499,1819,11536_NSE
2775,2835,11536_NSE
2772,3373,11536_NSE
2774.8501,3573,11536_NSE
2772.8999,4090,11536_NSE
2774.95,2444,11536_NSE
2773.2,1055,11536_NSE
2774.95,3100,11536_NSE
2773.5,3619,11536_NSE
2773.8999,3074,11536_NSE
2774.6001,2246,11536_NSE
2772.2,1021,11536_NSE
2768.3999,6162,11536_NSE
2769.3,2564,11536_NSE
2771.2,3548,11536_NSE
2770.2,960,11536_NSE
2770.3,2200,11536_NSE
2767,2862,11536_NSE
2768.3501,5594,11536_NSE
2768.25,3138,11536_NSE
2768.95,1329,11536_NSE
2768.55,1486,11536_NSE
2769.1001,2345,11536_NSE
2772.55,4597,11536_NSE
2775.7,4029,11536_NSE
2775.05,4207,11536_NSE
2775.1499,8126,11536_NSE
2775.55,2956,11536_NSE
2775.05,2473,11536_NSE
2775,3272,11536_NSE
2775.05,2170,11536_NSE
2775.8999,2395,11536_NSE
2775.05,2703,11536_NSE
2778.75,5648,11536_NSE
2776.5,3326,11536_NSE
2775.05,2225,11536_NSE
2778.3501,2078,11536_NSE
2778.3501,3485,11536_NSE
2777.7,1572,11536_NSE
2777.5,756,11536_NSE
2777.55,3293,11536_NSE
2776.75,1192,11536_NSE
2778.45,2681,11536_NSE
2776.95,969,11536_NSE
2777.6499,814,11536_NSE
2776.8,1165,11536_NSE
2777.25,4168,11536_NSE
2776.1499,2215,11536_NSE
2778.6499,2702,11536_NSE
2776,2602,11536_NSE
2776.3,2017,11536_NSE
2775.05,3720,11536_NSE
2776.1001,5839,11536_NSE
2776.2,2613,11536_NSE
2777,2929,11536_NSE
2779.45,5288,11536_NSE
2781,4279,11536_NSE
2782,2729,11536_NSE
2782,2044,11536_NSE
2781.95,1349,11536_NSE
2780.2,1536,11536_NSE
2780.75,4521,11536_NSE
2782,2335,11536_NSE
2779.75,1233,11536_NSE
2780,2067,11536_NSE
2780.45,2390,11536_NSE
2778.1499,5214,11536_NSE
2778.1001,1164,11536_NSE
2777.6001,4001,11536_NSE
2778.25,3207,11536_NSE
2777.1499,3729,11536_NSE
2778.5,1179,11536_NSE
2778,3337,11536_NSE
2778.45,3807,11536_NSE
2778,989,11536_NSE
2778.05,1254,11536_NSE
2778,3298,11536_NSE
2778.2,4065,11536_NSE
2778,7327,11536_NSE
2778,3323,11536_NSE
2778.1499,1879,11536_NSE
2779.5,4321,11536_NSE
2779,2804,11536_NSE
2778.6001,681,11536_NSE
2778,853,11536_NSE
2778.05,4070,11536_NSE
2778.2,4290,11536_NSE
2778.05,2591,11536_NSE
2778.8501,2641,11536_NSE
2778.8501,1402,11536_NSE
2780,3164,11536_NSE
2781,3229,11536_NSE
2780,4683,11536_NSE
2780.8999,1227,11536_NSE
2780.1499,1731,11536_NSE
2780,1876,11536_NSE
2780,4203,11536_NSE
2780,1399,11536_NSE
2780,1712,11536_NSE
2780,8566,11536_NSE
2780,1732,11536_NSE
2780,6121,11536_NSE
2780,1687,11536_NSE
2780,4934,11536_NSE
2780,3065,11536_NSE
