Date,Type,open,close,low,High,Candle Mean,Moving Average Short,Moving Average Medium,Moving Average Long,EXPONENTIAL AVERAGE,RSI,VWAP,Pattern
07-Jun-21,Bull,15725.1,15751.65,15678.1,15773.45,15725.775000000001,787.5825,315.033,78.75825,15751.65,0,0,[]
08-Jun-21,Bear,15773.9,15740.1,15680.0,15778.8,15729.4,1574.5875,629.835,157.45875,15750.55,0,0,[]
09-Jun-21,Bear,15766.3,15635.35,15566.9,15800.45,15683.675,2356.355,942.5419999999999,235.63549999999998,15739.578571428572,0,0,[]
10-Jun-21,Bull,15692.1,15737.75,15648.5,15751.25,15699.875,3143.2425,1257.297,314.32425,15739.40442176871,0,0,['HARAMI']
11-Jun-21,Bull,15796.45,15805.0,15749.8,15835.55,15792.675,3933.4925000000003,1573.3970000000002,393.34925000000004,15745.6516196955,0,0,['Doji']
14-Jun-21,Bull,15791.4,15811.85,15606.5,15823.05,15714.775,4724.085000000001,1889.6340000000002,472.40850000000006,15751.956227343548,0,0,['Doji']
15-Jun-21,Bull,15866.95,15869.25,15842.4,15901.6,15872.0,5517.547500000001,2207.0190000000002,551.7547500000001,15763.12706283464,0,0,['Doji']
16-Jun-21,Bear,15847.5,15767.55,15742.6,15880.85,15811.725,6305.925000000001,2522.3700000000003,630.5925000000001,15763.548294945625,0,0,[]
17-Jun-21,Bull,15648.3,15680.3,15616.75,15769.35,15693.05,7089.9400000000005,2835.9760000000006,708.9940000000001,15755.619885903185,0,0,['Doji']
18-Jun-21,Bear,15756.5,15683.35,15450.9,15761.5,15606.2,7874.107500000001,3149.6430000000005,787.4107500000001,15748.73703962669,0,0,['Doji']
21-Jun-21,Bull,15525.85,15746.5,15505.65,15765.15,15635.4,8661.4325,3464.5730000000003,866.1432500000001,15748.523988233672,0,0,[]
22-Jun-21,Bear,15840.5,15772.75,15752.1,15895.75,15823.925,9450.070000000002,3780.0280000000002,945.0070000000001,15750.831227449513,0,0,[]
23-Jun-21,Bear,15862.8,15686.95,15673.95,15862.95,15768.45,10234.417500000001,4093.7670000000007,1023.4417500000002,15744.747301025749,0,0,[]
24-Jun-21,Bull,15737.3,15794.15,15702.7,15821.4,15762.05,11024.125000000002,4409.650000000001,1102.4125000000001,15749.452319975679,0,0,['HARAMI']
25-Jun-21,Bull,15839.35,15860.35,15772.3,15870.8,15821.55,11817.142500000002,4726.857000000001,1181.7142500000002,15760.014003787519,100,0,['Doji']
28-Jun-21,Bear,15915.35,15814.7,15792.15,15915.65,15853.9,12607.877500000002,5043.151000000001,1260.7877500000002,15765.222193902993,91.04381398151592,0,[]
29-Jun-21,Bear,15807.5,15749.55,15724.05,15835.9,15779.974999999999,13395.355000000001,5358.142000000001,1339.5355000000002,15763.72960400747,80.02784846229378,0,[]
30-Jun-21,Bear,15776.9,15721.5,15708.75,15839.1,15773.925,14181.430000000002,5672.572000000001,1418.1430000000003,15759.707736959139,75.77665671300001,0,[]
01-Jul-21,Bear,15755.05,15680.0,15667.05,15755.55,15711.3,14965.430000000002,5986.1720000000005,1496.5430000000001,15752.116523915412,69.86349475827622,0,[]
02-Jul-21,Bull,15705.85,15722.2,15635.95,15738.35,15687.150000000001,15751.540000000003,6300.616000000001,1575.1540000000002,15749.267331161564,72.23604140317241,0,['Doji']
05-Jul-21,Bull,15793.4,15834.35,15762.05,15845.95,15804.0,15755.675,6617.303000000001,1654.3257500000002,15757.370442479509,77.34140194090679,0,['MORNING STAR']
06-Jul-21,Bull,15813.75,15818.25,15801.0,15914.2,15857.6,15759.5825,6933.668000000001,1733.4170000000001,15763.168495576698,75.20346849286724,0,['Doji']
07-Jul-21,Bull,15819.6,15879.65,15779.7,15893.55,15836.625,15771.7975,7251.261000000001,1812.8152500000003,15774.261972188442,77.73159306241143,0,[]
08-Jul-21,Bear,15855.4,15727.9,15682.9,15885.75,15784.325,15771.305000000002,7565.819000000001,1891.4547500000003,15769.846546265733,61.14030374652864,0,[]
09-Jul-21,Bull,15688.25,15689.8,15632.75,15730.85,15681.8,15765.545000000004,7879.615000000002,1969.9037500000004,15762.223065668997,57.80432074069526,0,['Doji']
12-Jul-21,Bear,15766.8,15692.6,15644.75,15789.2,15716.975,15759.5825,8193.467,2048.36675,15755.592297510044,57.98575135787507,0,[]
13-Jul-21,Bull,15794.0,15812.35,15744.6,15820.8,15782.7,15756.737499999997,8509.714,2127.4285,15760.99779298528,64.9307377525187,0,['Doji']
14-Jul-21,Bull,15808.7,15853.95,15764.2,15877.35,15820.775000000001,15761.057499999999,8826.793,2206.69825,15769.850384129539,66.97315459641632,0,[]
15-Jul-21,Bull,15872.15,15924.2,15855.0,15952.35,15903.675,15773.252499999999,9145.277,2286.31925,15784.550347545774,70.13616758220772,0,[]
16-Jul-21,Bear,15958.35,15923.4,15882.6,15962.25,15922.425,15785.255000000001,9463.745,2365.93625,15797.774123969986,70.05388754791049,0,[]
19-Jul-21,Bear,15754.5,15752.4,15707.5,15836.9,15772.2,15785.550000000003,9778.793000000001,2444.6982500000004,15793.452778829987,55.15839522702954,0,['Doji']
20-Jul-21,Bear,15703.95,15632.1,15578.55,15728.45,15653.5,15778.517500000002,10091.435000000001,2522.8587500000003,15778.085847512846,47.505576683642445,0,[]
22-Jul-21,Bull,15736.6,15824.05,15726.4,15834.8,15780.599999999999,15785.372500000001,10407.916000000001,2601.9790000000003,15782.463385844956,57.61129361169744,0,[]
23-Jul-21,Bear,15856.8,15856.05,15768.4,15899.8,15834.099999999999,15788.467499999999,10725.037000000002,2681.2592500000005,15789.471634812104,59.027394159997776,0,['Doji']
26-Jul-21,Bear,15849.3,15824.45,15797.0,15893.35,15845.175,15786.6725,11041.526000000002,2760.3815000000004,15792.802907687143,57.00224202872591,0,['EVENING STAR']
27-Jul-21,Bear,15860.5,15746.45,15701.0,15881.55,15791.275,15783.26,11356.455,2839.11375,15788.38834505027,52.238110878475474,0,[]
28-Jul-21,Bear,15761.55,15709.4,15513.45,15767.5,15640.475,15781.252500000002,11670.643,2917.66075,15780.865645521673,50.096325564219335,0,['Doji']
29-Jul-21,Bull,15762.7,15778.45,15737.8,15817.35,15777.575,15784.100000000002,11986.212,2996.553,15780.635584043419,53.89067554784113,0,['Doji']
30-Jul-21,Bear,15800.6,15763.05,15744.85,15862.8,15803.825,15788.252500000002,12301.473,3075.36825,15778.960766515474,52.92417811150166,0,[]
02-Aug-21,Bull,15874.9,15885.15,15834.65,15892.9,15863.775,15796.400000000003,12619.176000000001,3154.7940000000003,15789.074026847335,59.17569620253016,0,['Doji']
03-Aug-21,Bull,15951.55,16130.75,15914.35,16146.9,16030.625,15811.220000000001,12941.791000000001,3235.4477500000003,15821.614595719017,68.2958323077444,0,[]
04-Aug-21,Bull,16195.25,16258.8,16176.15,16290.2,16233.175,15833.247500000001,13266.967000000002,3316.7417500000006,15863.251300888634,71.82940808047809,0,[]
05-Aug-21,Bear,16288.95,16283.8,16210.3,16349.45,16279.875,15853.454999999998,13592.643000000004,3398.160750000001,15903.30355794686,72.47443726941671,0,['Doji']
06-Aug-21,Bear,16304.4,16238.2,16223.3,16336.75,16280.025,15878.969999999998,13917.407000000001,3479.3517500000003,15935.198457190016,69.35503827051181,0,['EVENING STAR']
09-Aug-21,Bear,16281.35,16258.25,16179.05,16320.75,16249.9,15907.392500000002,14242.572000000002,3560.6430000000005,15965.965270790966,69.96713085495239,0,['Doji']
10-Aug-21,Bull,16274.8,16280.1,16202.25,16359.25,16280.75,15936.767499999998,14568.174,3642.0435,15995.88286404897,70.65501248462925,0,['Doji']
11-Aug-21,Bear,16327.3,16282.25,16162.55,16338.75,16250.65,15960.262499999997,14893.819000000001,3723.4547500000003,16023.155924615734,70.72606340654349,0,[]
12-Aug-21,Bull,16303.65,16364.4,16286.9,16375.5,16331.2,15985.784999999998,15221.107000000002,3805.2767500000004,16055.655360366616,73.37837276461613,0,['INVERTED PIERCING']
13-Aug-21,Bull,16385.7,16529.1,16376.3,16543.6,16459.949999999997,16016.029999999999,15551.689000000002,3887.9222500000005,16100.745326045984,77.73404416060488,0,[]
16-Aug-21,Bull,16518.4,16563.05,16480.75,16589.4,16535.075,16048.012499999997,15882.950000000003,3970.7375000000006,16144.774342613033,78.51441070554544,0,[]
17-Aug-21,Bull,16545.25,16614.6,16495.4,16628.55,16561.975,16091.122499999998,15900.209,4053.8105000000005,16189.519643316555,79.67900800386629,0,[]
18-Aug-21,Bear,16691.95,16568.85,16535.85,16701.85,16618.85,16137.959999999995,15916.784000000001,4136.654750000001,16225.646343953074,75.754509986623,0,[]
20-Aug-21,Bull,16382.5,16450.5,16376.05,16509.55,16442.8,16169.282499999998,15933.087000000001,4218.90725,16247.060977862306,66.61405315396462,0,[]
23-Aug-21,Bear,16592.25,16496.45,16395.7,16592.5,16494.1,16201.3025,15948.261,4301.3895,16270.812313303992,68.21748184078464,0,[]
24-Aug-21,Bull,16561.4,16624.6,16495.3,16647.1,16571.199999999997,16241.310000000001,15964.653000000002,4384.5125,16304.50637870361,72.22405093719057,0,[]
25-Aug-21,Bear,16654.0,16634.65,16617.5,16712.45,16664.975,16285.719999999998,15981.109000000002,4467.685750000001,16335.948628350885,72.51665880345348,0,['Doji']
26-Aug-21,Bull,16627.95,16636.9,16603.4,16683.7,16643.550000000003,16332.095000000001,15996.462000000001,4550.87025,16364.61066374604,72.58628715113008,0,['Doji']
27-Aug-21,Bull,16642.55,16705.2,16565.6,16722.05,16643.824999999997,16378.432500000004,16015.215,4634.39625,16397.047743389274,74.68305668585413,0,[]
30-Aug-21,Bull,16775.85,16931.05,16764.85,16951.5,16858.175,16436.832500000004,16040.23,4719.0515000000005,16447.905101161723,80.10260541563362,0,[]
31-Aug-21,Bull,16947.5,17132.2,16915.85,17153.5,17034.675,16499.185000000005,16069.207,4804.7125,16513.076043908226,83.49205704971267,0,[]
01-Sep-21,Bear,17185.6,17076.25,17055.05,17225.75,17140.4,16546.46,16095.802,4890.09375,16566.71165877411,79.43856472719224,0,[]
02-Sep-21,Bull,17095.4,17234.15,17059.7,17245.5,17152.6,16595.2275,16125.03,4976.2645,16630.27721508134,82.08238069375464,0,[]
03-Sep-21,Bull,17262.45,17323.6,17212.2,17340.1,17276.15,16647.217500000002,16157.763,5062.8825,16696.307956502165,83.38567749351114,0,[]
06-Sep-21,Bear,17399.35,17377.8,17345.55,17429.55,17387.55,16704.197500000002,16189.435999999998,5149.7715,16761.211960644818,84.13853030186675,0,[]
07-Sep-21,Bear,17401.55,17362.1,17287.0,17436.5,17361.75,16759.39,16219.470999999998,5236.582,16818.43939296436,82.96576419742362,0,[]
08-Sep-21,Bear,17375.75,17353.5,17254.2,17383.4,17318.800000000003,16813.059999999998,16250.247,5323.349499999999,16869.39754601537,82.28914778115428,0,['Doji']
09-Sep-21,Bull,17312.85,17369.25,17302.7,17379.65,17341.175000000003,16867.409999999996,16282.640999999998,5410.19575,16917.002541632955,82.56951032439399,0,['MORNING STAR']
13-Sep-21,Bear,17363.55,17355.3,17269.15,17378.35,17323.75,16916.954999999998,16315.317,5496.97225,16958.74515671553,81.34130771777889,0,['Doji']
14-Sep-21,Bear,17420.35,17380.0,17367.05,17438.55,17402.8,16959.499999999996,16349.317,5583.872249999999,16998.864665599765,81.85593444898338,0,[]
15-Sep-21,Bull,17387.65,17519.45,17386.9,17532.7,17459.800000000003,17007.32,16385.262,5671.469499999999,17048.44422125693,84.46162575839453,0,['INVERTED PIERCING']
16-Sep-21,Bull,17539.2,17629.5,17510.45,17644.6,17577.525,17058.065,16421.164999999997,5759.616999999999,17103.782866851507,86.1518222616991,0,[]
17-Sep-21,Bear,17709.65,17585.15,17537.65,17792.95,17665.300000000003,17108.88,16456.503,5847.542749999999,17149.627355722794,82.26807280027583,0,[]
20-Sep-21,Bear,17443.85,17396.9,17361.8,17622.75,17492.275,17156.200000000004,16486.847999999998,5934.527249999998,17173.17713136824,68.21174324426227,0,['Doji']
21-Sep-21,Bull,17450.5,17562.0,17326.1,17578.35,17452.225,17209.4775,16523.53,6022.337249999999,17210.20788076174,72.62878456296396,0,[]
22-Sep-21,Bear,17580.9,17546.65,17524.0,17610.45,17567.225,17255.580000000005,16560.667,6110.070499999998,17242.24998735586,71.63218897009077,0,[]
23-Sep-21,Bull,17670.85,17822.95,17646.55,17843.9,17745.225,17314.995000000003,16603.273999999998,6199.185249999998,17297.554750464824,77.59241171706326,0,[]
24-Sep-21,Bear,17897.45,17853.2,17819.4,17947.65,17883.525,17375.810000000005,16644.091,6288.451249999997,17350.47334565865,78.13408023266305,0,[]
27-Sep-21,Bear,17932.2,17855.1,17802.9,17943.5,17873.2,17433.305,16684.113999999998,6377.726749999998,17398.533027024492,78.16977541345013,0,[]
28-Sep-21,Bear,17906.45,17748.6,17576.1,17912.85,17744.475,17474.1825,16720.602,6466.469749999998,17431.872738736445,71.15773160264716,0,[]
29-Sep-21,Bull,17657.95,17711.3,17608.15,17781.75,17694.95,17503.137499999997,16756.36,6555.026249999999,17458.484858856784,68.82899125019078,0,[]
30-Sep-21,Bear,17718.9,17618.15,17585.35,17742.15,17663.75,17530.2325,16793.675,6643.116999999998,17473.691062775186,63.26105664217935,0,[]
01-Oct-21,Bull,17531.9,17532.05,17452.9,17557.15,17505.025,17545.127499999995,16831.674,6730.777249999998,17479.249056796598,58.54662280262075,0,['Doji']
04-Oct-21,Bull,17615.55,17691.25,17581.35,17750.9,17666.125,17563.51,16869.018,6819.2334999999985,17499.439622815968,63.90318962583748,0,['MORNING STAR']
05-Oct-21,Bull,17661.35,17822.3,17640.9,17833.45,17737.175000000003,17585.735,16908.343000000004,6908.344999999998,17530.188230166827,67.61318597001335,0,[]
06-Oct-21,Bear,17861.5,17646.0,17613.15,17884.6,17748.875,17599.93,16944.774000000005,6996.574999999999,17541.21792253189,58.8501920828393,0,['ENGULFING']
07-Oct-21,Bear,17810.55,17790.35,17763.8,17857.55,17810.675,17621.7725,16985.652,7085.526749999999,17564.944787052664,63.07049613189696,0,['Doji']
08-Oct-21,Bull,17886.85,17895.2,17840.35,17941.85,17891.1,17648.07,17029.368000000002,7175.002749999999,17596.39766447622,65.81315200502647,0,['Doji']
11-Oct-21,Bull,17867.55,17945.95,17839.1,18041.95,17940.525,17677.6025,17072.718,7264.732499999999,17629.68836309753,67.08728242398469,0,[]
12-Oct-21,Bull,17915.8,17991.95,17864.95,18008.65,17936.800000000003,17708.2,17117.296,7354.692249999998,17664.189471373957,68.24261245088053,0,[]
13-Oct-21,Bull,18097.85,18161.75,18050.75,18197.8,18124.275,17740.315,17162.827999999998,7445.500999999998,17711.57618838596,72.13146121115983,0,[]
14-Oct-21,Bull,18272.85,18338.55,18248.7,18350.75,18299.725,17775.767499999998,17206.984,7537.1937499999985,17771.28797996825,75.4961157140026,0,[]
18-Oct-21,Bear,18500.1,18476.25,18445.3,18543.15,18494.225,17820.3225,17251.333,7629.574999999999,17838.427219971272,77.74934524980804,0,['Doji']
19-Oct-21,Bear,18602.35,18418.75,18377.7,18604.45,18491.075,17871.415,17294.032,7721.668749999999,17893.696056164485,74.66197602889267,0,[]
20-Oct-21,Bear,18439.9,18266.6,18209.35,18458.3,18333.824999999997,17906.644999999997,17334.6,7813.001749999999,17929.210717482154,67.07229079650492,0,[]
21-Oct-21,Bear,18382.7,18178.1,18048.0,18384.2,18216.1,17938.217500000002,17372.997,7903.89225,17952.914458674328,63.057029694176414,0,[]
22-Oct-21,Bear,18230.7,18114.9,18034.35,18314.25,18174.3,17952.815000000002,17409.693,7994.46675,17968.341653086296,60.28169968245099,0,[]
25-Oct-21,Bear,18229.5,18125.4,17968.5,18241.4,18104.95,17966.425,17446.556,8085.093749999999,17983.2995908876,60.5920285004106,0,[]
26-Oct-21,Bull,18154.5,18268.4,18099.3,18310.45,18204.875,17987.090000000004,17484.636000000002,8176.435749999999,18010.452010803067,64.64366197840883,0,[]
27-Oct-21,Bear,18295.85,18210.95,18167.9,18342.05,18254.975,18010.207500000004,17518.273,8267.490499999998,18029.54705739325,61.890639729078714,0,[]
28-Oct-21,Bear,18187.65,17857.25,17799.45,18190.7,17995.075,18017.505000000005,17544.157,8356.776749999997,18013.13781383199,48.262825018217264,0,[]
29-Oct-21,Bear,17833.05,17671.65,17613.1,17915.85,17764.475,18020.180000000004,17565.298,8445.134999999998,17980.61516489561,42.92199513757333,0,[]
01-Nov-21,Bull,17783.15,17929.65,17697.1,17954.1,17825.6,18040.060000000005,17592.514,8534.783249999997,17975.761339667457,51.03382131580123,0,[]
02-Nov-21,Bear,17970.9,17888.95,17847.6,18012.25,17929.925,18049.945000000003,17621.283,8624.227999999997,17967.49359303246,49.830708641976386,0,[]
03-Nov-21,Bear,17947.95,17829.2,17757.95,17988.75,17873.35,18050.29,17647.938,8713.373999999996,17954.32277464842,48.04018099262848,0,[]
04-Nov-21,Bear,17935.05,17916.8,17900.6,17947.55,17924.074999999997,18063.83,17673.782,8802.957999999997,17950.749177062855,50.82975094516556,0,[]
08-Nov-21,Bull,18040.2,18068.55,17836.1,18087.8,17961.949999999997,18077.74,17702.46,8893.300749999997,17961.96830305687,55.306130095854535,0,['Doji']
09-Nov-21,Bear,18084.35,18044.25,17983.05,18112.6,18047.824999999997,18085.192499999997,17730.607,8983.521999999997,17969.80465514669,54.45127061643322,0,[]
10-Nov-21,Bull,17973.45,18017.2,17915.0,18061.25,17988.125,18088.754999999997,17756.846999999998,9073.607999999997,17974.318497513672,53.4606634079554,0,[]
11-Nov-21,Bear,17967.45,17873.6,17798.2,17971.35,17884.775,18082.837499999998,17775.697999999997,9162.975999999997,17964.726259655225,48.42417803544035,0,[]
12-Nov-21,Bull,17977.6,18102.75,17905.9,18123.0,18014.45,18079.8875,17795.109,9253.489749999997,17977.8713777833,55.61074098030855,0,[]
15-Nov-21,Bear,18140.95,18109.45,18071.3,18210.15,18140.725,18068.432500000003,17815.772999999997,9344.036999999997,17990.40267513727,55.80464700693457,0,['Doji']
16-Nov-21,Bear,18127.05,17999.2,17958.8,18132.65,18045.725,18044.579999999998,17831.073999999993,9434.032999999998,17991.240515600388,51.79514064234432,0,['EVENING STAR']
17-Nov-21,Bear,17939.35,17898.65,17879.25,18022.65,17950.95,18018.575,17842.574999999997,9523.526249999997,17982.422371257493,48.380984320949274,0,[]
18-Nov-21,Bear,17890.55,17764.8,17688.5,17945.6,17817.05,17993.485,17850.315,9612.350249999996,17961.69643113773,44.20387614369921,0,[]
22-Nov-21,Bear,17796.25,17416.55,17280.45,17805.25,17542.85,17955.4075,17851.404000000002,9699.432999999997,17909.777723410327,35.59338781824674,0,[]
23-Nov-21,Bull,17281.75,17507.65,17216.1,17553.7,17384.9,17925.045000000002,17854.487,9786.971249999997,17871.479844990296,38.94387968916197,0,[]
24-Nov-21,Bear,17550.05,17415.05,17354.0,17600.6,17477.3,17889.5275,17855.403000000002,9874.046499999997,17828.0103359436,36.84570210688236,0,[]
25-Nov-21,Bull,17417.3,17536.25,17351.7,17564.35,17458.025,17852.920000000002,17859.022,9961.727749999996,17800.223637282303,41.303225020731574,0,[]
26-Nov-21,Bear,17338.75,17026.45,16985.7,17355.4,17170.550000000003,17793.695,17851.951,10046.859999999997,17726.530909922083,31.296912489743832,0,[]
29-Nov-21,Bear,17055.8,17053.95,16782.4,17160.7,16971.550000000003,17753.530000000002,17842.641,10132.129749999996,17662.4755851676,32.25039864207011,0,['Doji']
30-Nov-21,Bear,17051.15,16983.2,16931.4,17324.65,17128.025,17719.107500000002,17829.714999999997,10217.045749999996,17597.782672294492,31.056230951083876,0,['Doji']
01-Dec-21,Bull,17104.4,17166.9,17064.25,17213.05,17138.65,17680.97,17821.35,10302.880249999995,17556.746227314063,37.52476034331553,0,[]
